Número,Nome,Estrelas,Idade (anos),Número de releases,Url
1,TheAlgorithms/Java,50719,6.66,0,https://github.com/TheAlgorithms/Java
2,DuGuQiuBai/Java,10849,7.3,0,https://github.com/DuGuQiuBai/Java
3,singgel/JAVA,3957,5.62,0,https://github.com/singgel/JAVA
4,kubernetes-client/java,2803,5.85,35,https://github.com/kubernetes-client/java
5,Snailclimb/JavaGuide,131931,4.86,0,https://github.com/Snailclimb/JavaGuide
6,HelloWorld521/Java,2444,6.27,0,https://github.com/HelloWorld521/Java
7,hmkcode/Java,706,9.91,0,https://github.com/hmkcode/Java
8,gaopu/Java,1380,8.32,0,https://github.com/gaopu/Java
9,pubnub/java,584,10.06,65,https://github.com/pubnub/java
10,bjmashibing/java,645,3.4,0,https://github.com/bjmashibing/java
11,wesbos/JavaScript30,23303,6.27,0,https://github.com/wesbos/JavaScript30
12,json-iterator/java,1428,6.28,4,https://github.com/json-iterator/java
13,chenhaoxiang/Java,1008,6.89,0,https://github.com/chenhaoxiang/Java
14,dockerfile/java,720,9.17,0,https://github.com/dockerfile/java
15,exercism/java,555,9.04,0,https://github.com/exercism/java
16,sous-chefs/java,376,11.0,45,https://github.com/sous-chefs/java
17,airbnb/javascript,132242,10.37,0,https://github.com/airbnb/javascript
18,AobingJava/JavaFamily,33326,3.34,0,https://github.com/AobingJava/JavaFamily
19,DuHouAn/Java,1289,4.44,0,https://github.com/DuHouAn/Java
20,trekhleb/javascript-algorithms,164973,4.98,0,https://github.com/trekhleb/javascript-algorithms
21,structurizr/java,884,8.76,79,https://github.com/structurizr/java
22,TheAlgorithms/JavaScript,25730,5.67,0,https://github.com/TheAlgorithms/JavaScript
23,Asabeneh/30-Days-Of-JavaScript,34242,3.23,0,https://github.com/Asabeneh/30-Days-Of-JavaScript
24,joeyajames/Java,208,7.25,0,https://github.com/joeyajames/Java
25,thaycacac/java,155,4.93,0,https://github.com/thaycacac/java
26,winterbe/java8-tutorial,16204,9.0,0,https://github.com/winterbe/java8-tutorial
27,iluwatar/java-design-patterns,80290,8.6,0,https://github.com/iluwatar/java-design-patterns
28,doocs/advanced-java,69120,4.44,1,https://github.com/doocs/advanced-java
29,bottleleung/Java,384,9.17,0,https://github.com/bottleleung/Java
30,tensorflow/java,608,3.51,8,https://github.com/tensorflow/java
31,lenve/JavaEETest,3256,6.25,0,https://github.com/lenve/JavaEETest
32,lydiahallie/javascript-questions,52944,3.76,0,https://github.com/lydiahallie/javascript-questions
33,ReactiveX/RxJava,46864,10.18,231,https://github.com/ReactiveX/RxJava
34,google/guava,46996,8.8,35,https://github.com/google/guava
35,17mon/java,207,8.32,0,https://github.com/17mon/java
36,Firebasky/Java,527,2.23,0,https://github.com/Firebasky/Java
37,akullpp/awesome-java,35768,8.68,0,https://github.com/akullpp/awesome-java
38,ryanmcdermott/clean-code-javascript,80481,6.3,0,https://github.com/ryanmcdermott/clean-code-javascript
39,skylot/jadx,33733,9.99,27,https://github.com/skylot/jadx
40,XU-ZHOU/Java,173,3.87,0,https://github.com/XU-ZHOU/Java
41,java8/Java8InAction,3124,9.38,0,https://github.com/java8/Java8InAction
42,itwanger/JavaBooks,5155,2.43,0,https://github.com/itwanger/JavaBooks
43,jonasschmedtmann/complete-javascript-course,12046,4.75,0,https://github.com/jonasschmedtmann/complete-javascript-course
44,blueimp/JavaScript-MD5,4459,11.26,0,https://github.com/blueimp/JavaScript-MD5
45,sorrycc/awesome-javascript,30343,8.71,0,https://github.com/sorrycc/awesome-javascript
46,TheOdinProject/javascript-exercises,831,5.57,0,https://github.com/TheOdinProject/javascript-exercises
47,you-dont-need/You-Dont-Need-JavaScript,18110,6.69,0,https://github.com/you-dont-need/You-Dont-Need-JavaScript
48,Hax4us/java,121,5.54,2,https://github.com/Hax4us/java
49,learning-zone/java-basics,1270,4.03,0,https://github.com/learning-zone/java-basics
50,javaee-samples/javaee7-samples,2507,9.55,0,https://github.com/javaee-samples/javaee7-samples
51,alibaba/arthas,31951,4.54,47,https://github.com/alibaba/arthas
52,hello-java-maker/JavaInterview,4053,3.07,0,https://github.com/hello-java-maker/JavaInterview
53,fabric8io-images/java,173,6.71,21,https://github.com/fabric8io-images/java
54,whx123/JavaHome,3022,2.86,0,https://github.com/whx123/JavaHome
55,langpf1/java,147,9.54,0,https://github.com/langpf1/java
56,hollischuang/toBeTopJavaer,24445,4.39,0,https://github.com/hollischuang/toBeTopJavaer
57,kunal-kushwaha/DSA-Bootcamp-Java,11040,1.63,0,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
58,grpc/grpc-java,10415,8.27,137,https://github.com/grpc/grpc-java
59,quarkusio/quarkus,11498,4.69,222,https://github.com/quarkusio/quarkus
60,mybatis/mybatis-3,18275,10.08,40,https://github.com/mybatis/mybatis-3
61,blueimp/JavaScript-Load-Image,4354,11.26,0,https://github.com/blueimp/JavaScript-Load-Image
62,square/javapoet,10106,10.12,0,https://github.com/square/javapoet
63,hansonwang99/JavaCollection,3723,2.87,0,https://github.com/hansonwang99/JavaCollection
64,LingCoder/OnJava8,16456,4.32,0,https://github.com/LingCoder/OnJava8
65,mrniko/netty-socketio,6136,11.17,6,https://github.com/mrniko/netty-socketio
66,FanZeros/java,155,2.26,0,https://github.com/FanZeros/java
67,yangxi0126/javaScript,1837,7.12,0,https://github.com/yangxi0126/javaScript
68,jwtk/jjwt,8920,8.5,0,https://github.com/jwtk/jjwt
69,ScoopInstaller/Java,182,4.98,0,https://github.com/ScoopInstaller/Java
70,mthli/Java,128,9.0,0,https://github.com/mthli/Java
71,liammclennan/JavaScript-Koans,1373,12.4,0,https://github.com/liammclennan/JavaScript-Koans
72,jobbole/awesome-java-cn,14851,7.46,0,https://github.com/jobbole/awesome-java-cn
73,bytedeco/javacv,6501,8.9,9,https://github.com/bytedeco/javacv
74,jenkins-docs/simple-java-maven-app,345,5.47,0,https://github.com/jenkins-docs/simple-java-maven-app
75,chanjarster/weixin-java-tools,2707,8.57,21,https://github.com/chanjarster/weixin-java-tools
76,crossoverJie/JCSprout,26951,5.24,0,https://github.com/crossoverJie/JCSprout
77,sudheerj/javascript-interview-questions,14806,5.38,0,https://github.com/sudheerj/javascript-interview-questions
78,google/gson,21934,7.99,6,https://github.com/google/gson
79,javascript-tutorial/en.javascript.info,20297,5.78,0,https://github.com/javascript-tutorial/en.javascript.info
80,javaparser/javaparser,4604,11.38,40,https://github.com/javaparser/javaparser
81,java-native-access/jna,7707,11.88,0,https://github.com/java-native-access/jna
82,WebDevSimplified/Face-Detection-JavaScript,845,3.82,0,https://github.com/WebDevSimplified/Face-Detection-JavaScript
83,marijnh/Eloquent-JavaScript,2806,9.46,0,https://github.com/marijnh/Eloquent-JavaScript
84,json-path/JsonPath,7744,12.14,8,https://github.com/json-path/JsonPath
85,sisterAn/JavaScript-Algorithms,4692,2.95,0,https://github.com/sisterAn/JavaScript-Algorithms
